0,2387,1,04/30/2023,08:56:32,9
0,1017,7,04/30/2023,09:40:12,74
0,2605,1,04/30/2023,10:09:53,11
0,2391,6,04/30/2023,11:01:17,35
0,9956,7,04/30/2023,11:01:24,31
0,9523,8,04/30/2023,11:01:30,25
0,9148,3,04/30/2023,11:01:36,74
0,3657,1,04/30/2023,11:01:43,18
0,9977,7,04/30/2023,11:01:49,21
0,9960,2,04/30/2023,11:01:56,1
0,2860,1,04/30/2023,11:02:02,26
0,9987,2,04/30/2023,11:02:15,40
0,9988,1,04/30/2023,11:02:22,23
0,9989,5,04/30/2023,11:02:28,19
0,9990,3,04/30/2023,11:02:35,20
0,9991,1,04/30/2023,11:02:41,26
0,9992,4,04/30/2023,11:02:47,24
0,9993,5,04/30/2023,11:02:53,25
0,9994,2,04/30/2023,11:02:59,19
0,9983,4,04/30/2023,14:04:11,44
0,6108,5,04/30/2023,14:04:33,7
0,6386,3,04/30/2023,14:04:43,15
0,3737,3,04/30/2023,16:07:56,21
0,4991,1,04/30/2023,16:08:11,40
0,2942,2,04/30/2023,18:18:25,48
0,7196,3,04/30/2023,18:18:42,35
0,91,4,04/30/2023,21:03:41,44
0,72,2,04/30/2023,21:37:53,11
0,73,2,04/30/2023,21:38:00,18
0,2343,1,04/30/2023,22:17:38,11
0,3257,6,05/01/2023,01:37:30,30
0,3616,3,05/01/2023,01:37:37,18
0,5045,2,05/01/2023,01:37:43,39
0,1017,7,05/01/2023,03:42:01,81
0,5640,4,05/01/2023,03:59:30,30
0,5503,5,05/01/2023,03:59:37,28
0,2605,7,05/01/2023,06:13:38,18
0,6108,5,05/01/2023,09:56:03,44
0,9983,4,05/01/2023,09:56:11,48
0,6386,2,05/01/2023,09:56:26,17
0,2942,6,05/01/2023,12:42:35,54
0,2343,4,05/01/2023,13:54:21,15
0,7225,4,05/01/2023,15:18:57,8
0,7226,5,05/01/2023,15:19:03,11
0,7227,2,05/01/2023,15:19:09,4
0,3737,5,05/01/2023,18:18:42,26
0,4991,4,05/01/2023,18:18:48,34
0,3257,6,05/01/2023,18:50:55,47
0,2391,3,05/01/2023,19:07:05,38
0,9956,9,05/01/2023,19:07:13,40
0,9148,2,05/01/2023,19:07:20,94
0,9523,4,05/01/2023,19:07:29,29
0,3657,5,05/01/2023,19:07:39,23
0,9960,6,05/01/2023,19:07:48,11
0,9977,2,05/01/2023,19:07:55,23
0,2860,1,05/01/2023,19:08:01,27
0,9987,6,05/01/2023,19:08:11,46
0,9988,6,05/01/2023,19:08:18,29
0,9989,2,05/01/2023,19:08:25,21
0,9990,3,05/01/2023,19:08:33,23
0,9991,6,05/01/2023,19:08:43,20
0,9992,4,05/01/2023,19:08:51,36
0,9993,6,05/01/2023,19:09:06,31
0,9994,5,05/01/2023,19:09:13,24
0,1017,1,05/01/2023,21:47:11,73
0,5640,5,05/02/2023,01:40:58,35
0,5503,2,05/02/2023,01:41:06,30
0,72,1,05/02/2023,04:06:47,44
0,73,7,05/02/2023,04:06:53,25
0,3616,5,05/02/2023,05:02:51,23
0,5045,1,05/02/2023,05:02:59,40
0,2605,5,05/02/2023,06:10:16,23
0,2942,8,05/02/2023,06:45:13,47
0,7196,1,05/02/2023,12:25:27,46
0,925,3,05/02/2023,13:09:45,14
0,5643,4,05/02/2023,13:10:05,20
0,6386,4,05/02/2023,13:26:52,21
0,9983,6,05/02/2023,13:26:59,54
0,6108,6,05/02/2023,13:27:06,50
0,8869,3,05/02/2023,14:59:46,11
0,7207,1,05/02/2023,14:59:52,10
0,7280,5,05/02/2023,14:59:59,25
0,9981,7,05/02/2023,15:00:05,15
0,2387,5,05/02/2023,15:25:24,14
0,2343,5,05/02/2023,15:55:35,20
0,1017,5,05/02/2023,15:55:44,94
0,2391,3,05/02/2023,19:06:36,11
0,9956,3,05/02/2023,19:06:46,55
0,9523,4,05/02/2023,19:06:53,35
0,3657,3,05/02/2023,19:07:08,26
0,2860,1,05/02/2023,19:07:15,39
0,9960,4,05/02/2023,19:07:20,15
0,9977,7,05/02/2023,19:07:28,30
0,9987,6,05/02/2023,19:07:36,20
0,9988,5,05/02/2023,19:07:42,34
0,9989,6,05/02/2023,19:07:49,27
0,9990,1,05/02/2023,19:07:55,24
0,9991,8,05/02/2023,19:08:01,35
0,9992,4,05/02/2023,19:08:07,40
0,9993,5,05/02/2023,19:08:14,41
0,9994,7,05/02/2023,19:08:21,31
0,9148,3,05/02/2023,19:08:29,97
0,3737,6,05/02/2023,19:30:42,18
0,4991,7,05/02/2023,19:30:52,11
0,5640,4,05/03/2023,00:14:27,39
0,5503,1,05/03/2023,00:14:35,31
0,2942,7,05/03/2023,01:52:44,54
0,2605,5,05/03/2023,02:12:20,33
0,2343,7,05/03/2023,09:43:48,27
0,1017,7,05/03/2023,09:57:07,24
0,3257,6,05/03/2023,13:03:18,56
0,3616,4,05/03/2023,13:03:24,27
0,7196,3,05/03/2023,13:03:29,26
